id,name,artist_id,artist,playlist_id,playlist,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode,time_signature
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,711MCceyCBcFnzjGY4Q7Un,AC/DC,37i9dQZF1DWXRqgorJj26U,Rock Classics,"australian rock,hard rock,rock",0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208400,6,0,4
1UBQ5GK8JaQjm5VbkBZY66,Sharp Dressed Man - 2008 Remaster,2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,blues rock,classic rock,hard rock,rock",0.601,0.859,-5.263,0.0276,0.000359,0.00124,0.0871,0.446,125.145,258027,5,1,4
57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,37i9dQZF1DWXRqgorJj26U,Rock Classics,"classic rock,glam rock,rock",0.933,0.528,-6.472,0.162,0.112,0.329,0.163,0.756,109.975,214653,5,0,4
6pPWRBubXOBAHnjl5ZIujB,The Best,1zuJe6b1roixEKMOtyrEak,Tina Turner,37i9dQZF1DWXRqgorJj26U,Rock Classics,soft rock,0.662,0.737,-9.54,0.0296,0.108,0.0191,0.119,0.744,103.867,329800,0,1,4
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,0ECwFtbIWEVNwjlrfc6xoL,Eagles,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock",0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,2,1,4
2iW5uc25ziGLlNMqdhFJad,Listen to Her Heart,4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.481,0.906,-3.705,0.0349,0.334,0.603,0.043,0.364,127.955,184960,9,1,4
3VqHuw0wFlIHcIPWkhIbdQ,Enter Sandman (Remastered),2ye2Wgw4gimLv2eAKyk1NB,Metallica,37i9dQZF1DWXRqgorJj26U,Rock Classics,"hard rock,metal,old school thrash,rock,thrash metal",0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,331560,6,0,4
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,37i9dQZF1DWXRqgorJj26U,Rock Classics,"classic rock,country rock,rock,southern rock,swamp rock",0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133,0,1,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,rock,soft rock,yacht rock",0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,0,1,4
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,37i9dQZF1DWXRqgorJj26U,Rock Classics,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock",0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,11,0,4
